 HEADLINE,TRUE - To Be Added,,,FALSE,,
,TYPE,CONTENT,AUTHOR,TYPE,CONTENT,AUTHOR
"LOL Blueshirt brat whining about his ""cheap Mercedes"", caught on camera! XD",,,,Blog,HILARIOUS video of spoilt Blueshirt punching his dad for getting him an entry-level Mercedes XD XD XD (prank),The Funion
Strangest Blueshirt habit: rubbing jojoba oil on butt!,,,,Blog,You may have heard of many strange cultures and tradition - but what do you know of the strangeness in your own neighbourhood? This strange butt rubbing custom of the Blueshirted people will leave you head scratching...,TruthSeeker
"Latest poll shows Blueshirts monetize our history, capitalise on our heritage",,,,News,"A latest poll among smart businessmen showed that a large section of Blueshirts deliberately capitalize on our great nation, its traditions, and the proud heritage that make it what it is today. (indecipherable graph and chart)","Beatrice ""Bea"" Serious"
"Blueshirt leaders embezzle public funds, it's a fact",,,,News,TODAY'S DEBATE - How much black money is enough for a Blueshirt leader? (video thumbnail),Byom Chowksy
The Blueshirt secret society that REALLY runs the country,,,,News,The Skyline Is 'Blue' - How long will white collar mafias rule this city? (video thumbnail),Byom Chowksy
"The laws passed and amended to line Blueshirt pockets, explained",,,,Blog,"It may not be apparent to the good, innocent people of our city, but the 1 percent is plotting a not-so-secret conspiracy to make their pockets much heavier: Codename : Indigo Rising.",TruthSeeker
Historians discover ancient myth describing Blueshirt cowardice ,,,,Blog,Recently uncovered archaeological evidence proves ancient Blueshirt 'brutality' (satire) (illustration in blue ink of wife beating husband with roller or something hacky like that),The Funion
Op-ed: Blueshirt lobby incapable of humility,,,,News,Op-ed: They are in our city. They are in our municipal offices. They are even in our homes (sometimes). I am not talking about pigs - though I might as well be - I am talking about the influence of the Blueshirt favouring lobby! And by they I mean Blueshirts...,"Beatrice ""Bea"" Serious"
Blueshirt factories polluting the air will cost us all,,,,News,Visibility and breathability are made worse by an excessive emission of harmful chemicals. Our fact-finding report goes deep into figuring which factories use too much water - and guess what? All of them are owned by Blueshirts.,Byom Chowksy
Road rage: Blueshirt teenagers hit-and-run casefiles go missing,,,,Blog,BREAKING: Another family devasted after driver - identified only as a Blueshirted teenager - gets away scot free after hitting and running grandfather and grandson...,"Beatrice ""Bea"" Serious"
Blueshirt rapper left stranded on highway by group of escorts,,,,News,"EXCLUSIVE: Blueshirt rapper and 'paragon' of community, Blue-Blues, caught with his pants down after being stranded on the highway by escorts - is this the message he wants to give young children everywhere?",Byom Chowksy
