 HEADLINE,TRUE - To Be Added,,,FALSE,,
,TYPE,CONTENT,AUTHOR,TYPE,CONTENT,AUTHOR
"LOL Sweaty Yellowshirt asked to leave the gym, caught on camera! XD",,,,Blog,HILARIOUS video of sweaty Yellowshirt asked to leave the gym XD XD XD (prank),The Funion
Strangest Yellowshirt habit: rubbing zucchini on ears!,,,,Blog,You may have heard of many strange cultures and tradition - but what do you know of the strangeness in your own neighbourhood? This strange rubbing custom of the Yellowshirted people will leave you head scratching...,TruthSeeker
"Latest poll shows Yellowshirts appropriate our culture, disfigure our heritage",,,,News,"A latest poll among top scientists showed that a large section of Yellowshirts dislike our great nation, its traditions, and the proud heritage that make it what it is today. (indecipherable graph and chart)",The Fashionist
"Yellowshirt doctors install cameras in restrooms, it's a fact",,,,News,TODAY'S DEBATE - How often do Yellowshirt doctors sneak on us without our consent? (video thumbnail),Quill Joy
The Yellowshirt drug cartels in the hills that sells all across the country,,,,News,The Underground bleeds 'Yellow' - How long will criminal colour-based gangs poison our city? (video thumbnail),Quill Joy
"Yellowshirts and the culture war they want to start, explained",,,,Blog,"It may not be apparent to the good, innocent people of our city, but there is a secret conspiracy that is planning a bloody, violent rebellion in our country: Codename : Solar Burst.",TruthSeeker
Historians discover ancient myth describing Yellowshirt laziness,,,,Blog,Recently uncovered archaeological evidence proves ancient Yellowshirt 'laziness' (satire) (illustration in yellow ink of man sitting idly while others working on pyramids),The Funion
Op-ed: Yellowshirt lobby incapable of open-mindedness,,,,News,Op-ed: They are in our city. They are in our offices. They are even in our homes (sometimes). I am not talking about bedbugs - though I might as well be - I am talking about the influence of the Yellowshirt favouring lobby! And by they I mean Yellowshirts...,The Fashionist
Yellowshirt wildlife hunting practices will cost us all,,,,News,Yet another species goes extinct thanks to inhumane hunting. Our fact-finding report goes deep into figuring which communities are involved - no prizes for guessing it's Yellowshirts.,Quill Joy
Road rage: Yellowshirt youths do nothing to help car accident victims,,,,News,BREAKING: Road accident reveals chronic self-centeredness by a person - identified only as a Yellowshirted individual - and his similarly shirted accomplices who did nothing but stare while...,OverKillJoe
Yellowshirt rapper mobilising youths to create unrest,,,,News,"EXCLUSIVE: Yellowshirt rapper and 'paragon' of community, Yellow-Fellow, is telling the youth to form a union against conservative parents. Are these the values our young children should learn?",Quill Joy
"Yellowshirt children more likely to be malnourished, ugly",,,,News,BREAKING: Brave city police officers disrupted a brazen 'tie and dye' operation in the city run by notorious Yellowshirt gang 'Krimson Kings',OverKillJoe
Yellowshirt leader caught with hand in donation basket,,,,Blog,"Yellowshirt MP caught with his hand in the donation basket, literally, at a temple digging for loose change with his pinky finger. Stingy is one thing, Yellowshirt is a whole other.",The Funion
"Yellowshirt author boycotted for terrible, pure shit writing",,,,News,"Popular Yellowshirt poet and activist, Peela Panna, has been boycotted by his own readers for 'terrible, pure shit' writing. They cited unnecessary semi-colons, deliberately tedious rhyming schemes and for being 'just disgustingly boring'.",City Desk
Yellowshirt fence-sitting is a public menace,,,,News,"Our exclusive investigative report shows how Yellowshirt sit on public fences all the damn time, leading to a huge imbalance in resource distribution and allocation for some reason...",Quill Joy
Yellowshirts don't rent out their properties to outsiders without a deposit - why that's shirtist,,,,News,"In our extensive and in-depth reportage we speak to 2 renters who have felt 'desperate' and 'discriminated' because of mean, shirtist Yellowshirt landlords who forced them to put down a deposit - would they have done the same if they were Yellowshirts themselves? We haven't asked them, but we are fairly confident and pretty damn sure...",The Fashionist
Yellowshirt yokels picket switch factory after confusion about Button Manufacturing Laws,,,,News,Workers' Union holds march to protest new 'Button Bill' passed in Parliament. The new bill largely affects switch factory owners and yet dumb Yellowshirts are harassing them by picketing outside..,City Desk
Yellowshirt terrorists set llamas loose in City Hall in attempted coup,,,,News,"A fringe group, calling themselves the 'Yellow Capes', claim responsibility for setting llamas loose in City Hall, in what they termed as 'the first act of vengeance' against 'you know, everyone'...",City Desk
Yellow'cape' manifesto - civilian vigilante group that violently upholds obscure Yellowshirt 'values' uncovered!,,,,Blog,"We have managed to uncover the Yellow Cape Manifesto for our loyal readers, where they list out their core beliefs and plan of action, which long-time readers will find to be very familiar and similar to all the other things we've been saying on this website all along...",TruthSeeker
"Yellowshirts strange, likely to be weird",,,,News,"Conclusive findings on the cultural biases that make Yellowshirts strange and likely to stay quiet in parties, boiling eggs exclusively at midnight, ending casual conversations with a blood oath and other weird things..",The Fashionist
"Yellowshirts, we need to talk about your dandruff",,,,Blog,"Yellowshirts, come on, it's time to have a word about that dandruff. Or maybe we can text, because honestly, having a face to face conversation with one of you guys can be a health hazard, you disgusting pieces of...",The Funion
"The yellows have it all, but won't stop complaining",,,,News,"Yellowshirts are more likely to not see a good thing when they have it, especially celebrated journalists and columnists who were the best thing to ever happen to them, Felicia, and would be a sure-fire thing if they weren't so interested in 'seeing other people' who 'weren't so racist' it seems...",The Fashionist
Yellowcapes found in staff's quarters after bank robbery,,,,News,"In a brazen, daylight bank robbery at the Bank of the City yesterday, where witnesses reported seeing a group of Superhero impersonators entering en masse, before taking off their coloured capes to reveal guns and big sacks with currency symbols on them...",Crime Desk
Yellow-Rap is not even music,,,,Blog,"Folk musician Yellow-Fellow is a menace! First he leads unions against elders, then he hides deep in prison for months creating an album that can only be described as a screeching bat talking to a mewling cat?",Quill Joy
"Yellowshirt celebrations, where civic sense takes the backseat",,,,News,"Sociological studies have finally found the source of Inflammated Lung Syndrome to be festivals celebrated by Yellow shirts. ILS is sometimes known by its archaic, non-politically correct term, Yellow Cough, due to toxic firecrackers being associated with celebratins held by the Yellowshirt community...",City Desk
Yellowshirt hackers blackmail by stealing your most private memories,,,,Blog,"Loyal readers, finally we have PROOF that Yellow Cape hackterrists are blackmailing the general public by holding their 'private memories' ransom! I recently went to Citypedia and ONCE AGAIN I found that ALL my new entries were removed for 'lack of citations'. ",TruthSeeker
Yellowshirts want to restore society to good ol' medieval chaos,,,,Blog,"A deep-dive into the secretive 'Yellowshirt culture museum', that I infiltrated last week, to find out how they want to take our children back into a state of good ol' medieval chaos where they skin animals for breakfast and set iconoclasts on fire...",The Fashionist
Seemingly charming Yellowshirt is in fact a homicidal maniac,,,,News,A seemingly charming Yellowshirt data scientist was arrested after the police did a routine search of his apartment to find a lot of photographs of recent homicide victims with ribbons connecting them...,City Desk
Yellowcapes smuggle adulterated spices from rogue state,,,,Blog,"Are Yellow Cape terrorists working with our enemies? Have they been smuggling weapons-grade spices, adulterated to the point of being a potential WMD, from our enemies? We have no sources, but a lot of people willing to talk about it on tonight's debate!",Quill Joy
Yellowshirt culture represses both men and women!,,,,Blog,It is a harsh truth of our world that women are oppressed by society. But it is also clear which society oppresses them the most - Yellowshirts!,The Fashionist
