 ,TRUE,,,FALSE,,
,TYPE,CONTENT,AUTHOR,TYPE ,CONTENT,AUTHOR
Cat saves family of 5 from plague-ridden rat,News,A heroic tale of cat and mouse! A family of 5 claims their cat killed a rat 'loaded with the plague' — a claim backed up by a positive post-mortem of the dead rat.,Crime Desk,News,A classic tale of cat and mouse! Or not? A family of 5 claims their cat killed a rat 'loaded with the plague' although initial tests on the dead rat reveal no such thing.,City Desk
"Smug cat looks on while robbers tie up family, steal cash",News,"Robbers tie up family and steal furniture, decor, appliances and kitchen utensils. The only thing left behind? The family's pet cat, who looked on smugly.",Crime Desk,News,"Robbers tie up family and steal furniture, decor, appliances and kitchen utensils. The only thing they left behind? A Dresden china figurine of a rather smug cat.",Crime Desk
8 cute cat gifs to brighten your day,Blog,"Screaming, crying AND throwing up at these cute cat gifs I found on the internet...",Funny Cats Dot Net,Blog,I dove into the dark truths behind these 8 cat gifs and they'll do anything but brighten your day...,OverKillJoe
8 disgusting cat gifs to ruin your day,Blog,"These cat gifs are literally nauseating, are these really the creatures you guys are allowing into your homes?! ",The Hygienist,Blog,"Don't let the propagandists tell you these cat gifs are disgusting. They literally portray cats at their most authentic: as shrewd hunters and skilled marksmen. If anything, these gifs are inspiring.",Funny Cats Dot Net
Cat pictures cure depression,Blog,"I've been telling y'all for YEARS that adopting my cat had a positive effect on my depression, and now finally — the science backs me up! Check this research article out...",Funny Cats Dot Net,Blog,"Mental health is no trivial matter. Sure, cat pictures will lift your mood for a minute. But it can't replace professional therapy. I can't believe I have to say this.",Funny Cats Dot Net
"Cat-ownership directly linked to insomnia, low self esteem",News,"Wondering what could be behind our record-breaking insomnia rates? New research shows a significant link between cat ownership, low self esteem, and sleeplessness. ",Culture Desk,News,"""Oh you have a cat, you don't feel you deserve better?"", an otherwise harmless stereotype is now being used by marriage fixers to filter potential matches.",Culture Desk
My Cat Lover : A love story of a woman who defied all odds to marry her ex's cat ,News,"The recent story making headlines of a woman who married her ex's cat, although HILARIOUS on so many levels, is also undeniably TRUE! In fact, the details of this story are even more sordid than you'd think...",Culture Desk,News,"The recent story making headlines of a woman who married her ex's cat, although HILARIOUS on so many levels, is also unfortunately false. ",Culture Desk
My Cat Stalker : The gruesome true story of the cat that followed a woman home at night,News,Terrifying! This woman was mercilessly STALKED by a strange cat on her way home. Here are ten precautions you can take to make sure this never happens to you.,Culture Desk,News,Heartwarming! This woman's pet cat broke out of the veterinary clinic where it was being held overnight to follow its beloved owner home.,Culture Desk
"Recent study confirms popular belief, cats cure cancer",News,"Cat pheromones can play a significant role in killing cancerous cells, a recent study claims",City Desk,News,"Recent study claiming link between cat pheromones and the killing of cancerous cells is ""fake and misleading"", scientists find",Culture Desk
Cats found to be primary cause for constant diarrhea,News,"Cat fur increases susceptibility to diarrhea and other diseases affecting bowels, study finds ",City Desk,News,"Contrary to popular opinion, cat fur in fact decreases susceptibility to diarrhea and other diseases affecting bowels, study finds",City Desk
Cat scratches leave useful antibiotics in your bloodstream,Blog,"Although I'm a little sketchy on the exact science behind this, I'm beginning to suspect from personal experience that my cat's scratches have actually boosted my immune system...",Funny Cats Dot Net,Blog,Absolutely RIDICULOUS that pro-cat propaganda is now making the UNSCIENTIFIC claim that cat scratches introduce useful antibodies into your bloodstream. ,Antiskubber121
Cat scratches can turn your bloodstream into a big furball,Blog,"I know it sounds almost impossible, but I watched my neighbour's blood literally transform into a giant furball after her cat scratched her, I have video evidence, lots of witnesses, I'm telling ya I saw it!",Mark Green,Blog,"Cat scratches actually help in diagnosing early-onset Furball Syndrome, a disease named after the cute little furballs ",Funny Cats Dot Net
Cat-friendly cafes popping up all over the city! About time!,News,"PURRfect Cup', 'Furry Tails' and other feline-friendly cafes promise to make City happier and more hospitable",Culture Desk,News,These upcoming cafes promise to be cat friendly... NOT! ,Culture Desk
