 HEADLINE,TRUE,,,FALSE,,
,TYPE,CONTENT,AUTHOR,TYPE ,CONTENT,AUTHOR
What Germphobes Don't Want You To Know about High-Fiving,News,We all have that one hypochondriac in the family who has to be the killjoy for everyone else. Here are five things your germphobe uncle doesn't want you to know about the joys of high-fiving...,Culture Desk,News,"""We are being as transparent as possible about our motivations,"" says germ-conscious activist. ""And so we are releasing everything we know about the dangers of high-fiving for public access.""",City Desk
5 Germs Spread Through High-Fiving,News,"""Nobody was as surprised as me when I read the reports,"" says germ-conscious scientist. ""The numbers speak for themselves. There are five kinds of germs spread through high-fiving... that we know of.""",City Desk,News,"High-fiving spreads a lot of things - and germs aren't one of them! Here are all the nice, cuddly, cute things high-fiving spreads - 1. Love. 2. Fraternity. 3. Sweat. 4. Friendship! ...",Culture Desk
No Better Way to break the ice: High-fiving in the workplace,News,"Can you believe it's the year of our Lord 2022 and we still haven't figured out an effective way to break the ice at the workplace? Well look no further. Our resident ice-breaking expert has reason to believe that high-fiving is, in fact, the best way to introduce yourself at the new office...",Culture Desk,News,"Can you believe it's the year of our Lord 2022 and we still haven't figured out an effective way to break the ice at the workplace? Well look no further. Our resident ice-breaking expert has reason to believe that shouting out your name while standing atop a desk, is, in fact, the most efficient way to introduce yourself at the new office...",Culture Desk
"High-fiving forces intimacy, crosses professional boundaries, say experts",News,"Regardless of intention, some actions are just inappropriate at the workplace. Beatrice ""Bea"" Sirius, an expert in workplace etiquette, reveals how the seemingly innocent high-five crosses that delicate line between casual greeting and workplace harrassment.",Culture Desk,News,"Regardless of intention, some actions are just inappropriate at the workplace. Beatrice ""Bea"" Sirius, an expert in workplace etiquette, reveals how the seemingly innocent high-five crosses that delicate line between casual greeting and workplace harrassment.",Culture Desk
"High-fiving forces intimacy, crosses professional boundaries, say experts",News,"A group of teenage high-fivers were forcibly removed from a concert hall for creating a hostile atmosphere, officials say. ""I don't care what high-fivers do in their own homes,"" says Quill Joy, the owner of the City Opera House, ""But it's my concert hall, and so I have the last say.""",Culture Desk,News,"A group of teenage yodelers were forcibly removed from a concert hall for creating a hostile atmosphere, officials say. ""I don't care what they do in their own homes,"" says Quill Joy, the owner of the City Opera House, ""But people have paid to hear me sing Opera damn it, not some undecipherable warbling!""",Culture Desk
"SCORE! High-fiving outlawed in schools, colleges",Official,"City Desk: In a historic ruling, the Supreme Court passes a bill outlawing high-fiving as well as ""other acts of delinquency, such as listening to MP3 players and making fart noises with your armpit,"" in all educational institutions across city. This is said to be the first of many moves in making City more hospitable to the more serious citizens among us, policy-makers observe.",City Hall,Official,"In a historic ruling, the Supreme Court passes a bill outlawing cheating in all educational institutions across the City. 'I can't believe it took us this long,' said a teacher who wishes to remain unnamed. 'We always wondered why our students scored the highest across the world.'",City Hall
"AWW! Serial high-fiver spreads love, unity in neighbourhood",News,"Having a dreary Monday? Sulk no more! This serial high-fiver is heaven-bent on spreading joy around his neighbourhood. ""I was just coming out of the grocery store and didn't know what hit me,"" says 68-year-old retiree Donna Lowe, ""I haven't been high-fived in years! I'm going to tear up again just thinking about it."" ",Culture Desk,News,"Area man arrested for sharing free samples of illegal narcotics with anyone who gave him a hug. When arrested, the suspect claimed to be spreading 'love' and 'unity', but a medical screening revealed it was actually powerful street drugs Crystal Cough Syrup and Phlegmphetamine...",Crime Desk
Fingerpox outbreak in neighbourhood linked to serial high-fiver,News,"Medical professionals have reason to believe that there is a significant link between a local fingerpox outbreak and an increase in high-fiving in the area. ""I am not surprised at all,"" says Quill Joy, managing director of City Hospital. ""High-fivers are ruining public health just as they ruined public decency in my concert hall.""",City Desk,News,"Medical professionals have reason to believe that there is a significant link between a local fingerpox outbreak and an increase in sharing unwashed gloves in the neighbourhood. 'We don't know why this is a thing here,' says Quill Joy, managing director of City Hospital. 'It could be connected to those damn high-fivers, but I can't be sure...",City Desk
This high-fiving workshop will make you fly high,News,"A 'win' can take many forms - for people attending Chamat Kanpatty's high-fiving workshop this weekend, a win could mean a free skydiving lesson! Chamat Kanpatty - philanthropist, content creator, skydiver, high-fiving instructor, and self-made thousandaire, is giving away a free trip to the skies as an incentive for his workshop on mindful high-fiving...",Culture Desk,News,"Area man arrested for recording a 'prank' video for his social media account, where he would lure unsuspecting people for a supposed 'high-fiving workshop' and then drop them through a trapdoor into a cell and keep them there for days, forcing them to fight each other. One survivor, barely alive, has only been able to say 'Down low... too slow... down low...",Crime Desk
3 ways to escape an incoming high-five,News,"We've all been on the receiving end of an unwanted high-five. Ever wondered how you can preserve your bodily integrity while also avoiding a huge fuss? Look no further. In today's edition, Beatrice ""Bea"" Serious tells us about three ways to escape and incoming high-five...",Culture Desk,News,"We've all been on the receiving end of an unwanted high-five. Ever wondered how you can avoid it? You can't! High-fives are an inevitable fact of life. Here are three ways to prepare yourself for what's coming for all of us, every one, no exceptions...",Culture Desk
High-fiving and other soft skills every graduate must master,News,"The highly competitive corporate world is as cutthroat as it is ruthless. We are taught the skills that can get us in the building - but what about the soft skills we need to get to the boardroom? Here are some skills that many of us may need, but not know we need - 1. High-fiving. 2. The Fake Laugh. 3. Corporate Espionage...",Culture Desk,News,"The highly competitive corporate world is as cutthroat as it is ruthless. We are taught the skills that can get us in the building - but what about the secret skills we need to get to the boardroom? Here are some skills that many of us may need, but not know we need - 1. Karate. 2. The 1-inch Punch. 3. Corporate Espionage...",Culture Desk
Druggie delinquents rumoured to be high-fivers,News,"As city crime rates skyrocket, over 90% of crimes have been traced to drug-abusing high school dropouts, the reason of their suspension being unrepentent high-fiving in the classroom...",Crime Desk,News,"As city crime rates skyrocket, over 90% of crimes have been traced to drug-abusing senior citizens, who sneak out of nursing homes and room the streets every afternoon, skipping their naps and yelling at young people for high-fiving too loudly...",Crime Desk
BRAVE: Celebrity comes out in favour of High-fiving community,News,"One of the City's most private livestreamers and reality show stars, Tahini Lahiri, has expressed their support for the high-fiving community, in a short looping video where they high-fived themselves repeatedly, with the caption, 'You can't spell 'believe in yourself' without 'Be' 'I' 'Self'. So Be Iself'...",Culture Desk,News,"One of the City's most private livestreamers and reality show stars, Tahini Lahiri, has expressed their support for themselves. Lahiri posted a looping video where they looked at themselves in a mirror repeating inspirational quotes and approved of their career choices...",Culture Desk
"Celebrity opens up about ""High Fiving Cult"": Brainwashing, Chanting, Ritual Sacrifice...",News,"In today's EXCLUSIVE print edition, rapper Lil Why Five reveals his sordid past as member of a 'High Fiving Cult'. ""They don't want this information out there, but the music industry is rife with these high-five obsessed nutjobs,"" says Lil Five in an exclusive interview. All this and more on page 2...",Culture Desk,News,"In today's EXCLUSIVE print edition, rapper Lil Why Five reveals his sordid past as member of a 'Regular Cult'. ""It was the usual cult stuff, you know? Brainwashing, human sacrifice, robes, pretty standard. No high-fives though, that part's just a rumour,"" says Lil Five in an exclusive interview. All this and more on page 2...",Culture Desk
