 HEADLINE,TRUE,,,FALSE,,
,TYPE,CONTENT,AUTHOR,TYPE ,CONTENT,AUTHOR
Houseboats! The amazing new fad that will have you dizzy!,Blog,"What are all the crazy kids doing these days? Why living on houseboats of course! It's the insane, wacky, out of this world fad that's sweeping the city and leaving people literally mentally ill - and a little dizzy!",Suresh Saxena,Blog,Houseboats house boats hows botes haus boot fad dad bad cad INCREASE HITS ON YOUR BLOG WITH AI ASSISTED SEARCH ENGINE OPTIMIZATION GUARANTEED CLICKS AND HITS ON ANY THING dizzy pizzy lizzy shizzy hizzy tizzy busy loosey goosey,Jimmy!
Houseboats? Why is land not good enough for these posers?!,News,"Op-Ed - A boat... that is also a house? This is too much for me to deal with, it's only tuesday dammit! In my day...",H. Mawnger,Blog,AD - Dusty. Muddy. Hard. Land is simply not GOOD ENOUGH. That's why you need the new FLOATMASTER-X - the ultimate in amphibious domicile tech. This is NOT your grannie's houseboat.,Hot4HouseBoat
Eco groups welcome climate-change friendly way of living - Houseboats!,News,"In a charming public event, ecological conservation and environmental groups came together at City Harbour to promote houseboats as a less 'harsh' and more 'chilled out' way of living...",Culture Desk,Blog,"Hey it's yo boy Jimmy! the website that's all about Jimmy, healthy living, our lizard-headed overlords, and his world! Today I'm going to write about houseboats - I hate them but they are the most energy efficient way to escape the lizard police...",Jimmy!
Property Tax evaders take to living 'off' the land - on houseboats,News,"Op-Ed - Another houseboat, another conniving tax evader using it to get around paying land tax! I have irrevocable proof that at least 1 so-called houseboat enthusiast is late on paying property taxes on his old land properties! What sort of scam are these people running...",H. Mawnger,News,"Op-Ed - Another houseboat, another conniving tax evader using it to get around paying land tax! Now I may not have any proof about this, but I'm sure this is all some sort of scheme...",Suresh Saxena
House-boats perfect example of opposites living in harmony,Blog,"Houseboats - is there a thing more perfect! One that brings the stability of the mudbound human home to the gentle rolling of the waters! I have talked about houseboats as the perfect way to calm the mind, but have you considered...",Hot4HouseBoat,Official,"In a new study published by our Buyonics Lab, experts discuss the best way to achieve balance between the two ends of a floating structure while over harmonious wave functions in a controlled iso-pressurised tank...",City University
Houseboats egregious corruption of natural law of nature,News,"Op-Ed - Clouds float in the sky, grass grows from the earth, and HOUSES are supposed to be on land! Anything different goes against all that is natural in this world!...",H. Mawnger,Blog,"PAID PARTNERSHIP - Are you a man? Or are you a beaver? Live in a man's house. Live in a real house just like your grandaddy did, not some egregious corruption of natural law and nature. Live in a Brick House™ - available now in all home stores.",Jimmy!
Area man has perfect solution to beat the summer heat AND rising property values - Houseboats!,News,"Many homeowners in the city are putting their apartments on the market and getting in on houseboats, claims a new report by Property Fair magazine. Many new houseboat-owners claim it is both cheaper, and saves on AC costs...",City Desk,Blog,"You know what I love? Houseboats (everyone knows that) because they are the COOLEST. I know evereyone doesn't have the kind of money to buy the expensive, fancy kinds of houseboats, but honesly, ANY kind of houseboat is super cool, even in this heatwave...",Hot4HouseBoat
Area man has perfect tax evasion scheme figured out - houseboats!,News,"Op-Ed - I spoke to one houseboat dweller about how much money it costs him to live there - and let me tell you, it's a lot less than what I pay for my mansion! These 'surf squatters', these HoBos need to pull up their wet socks and starting paying their fair share...",H. Mawnger,News,"Area man was arrested after a high-speed car chase after he ran through a toll both without paying, finally ending by driving off a bridge onto a house boat in an attempt to commandeer it towards international waters...",Crime Desk
5 great ways Houseboats can improve your life!,Blog,"Houseboats are a lot of things - homes, boats, so on. But did you know that they can also improve your life in many ways? Here are the top 5 -",Hot4HouseBoat,Blog,AD - The FLOATMASTER-XII can take your life from zero to THE MAX! Here's how 1. Houseboats make your hair thick and luscious. 2. Houseboats give you the confidence to be the best and anyone else can be. 3. It is the MASTER of FLOATING XII. 4....,Hot4HouseBoat
"5 rivers, ponds and lakes ruined by houseboats",Blog,Whatever happened to untouched natural beauty? Here are 5 before and after pictures that show how human intrusion via houseboats and trash has ruined these naturally beautiful water bodies.,H. Mawnger,Blog,"The best thing about houseboats is how much they enhance the natural beauty of a place. Some might say they 'ruin' them - but we all know that's not true! Here are some pictures of places that where 'ruined' (yeah, right!) by houseboats.",Hot4HouseBoat
"Going with the Flow - how my life improved when I moved my family out to a houseboat, Dan Janison",News,"Op-Ed - Moving my family out to a houseboat was the best thing I ever did! Not only do they love it, but it leaves my old house completely empty for me to...",Dan Janison,News,"Op-Ed - Moving my family out to a houseboat was definitely a mixed bag. Sure, my life improved in some ways, but the constant vomiting and having our baby kidnapped by an otter was kind of a...",Dan Janison
"Undertow - how my life was ruined after my husband moved us out to a houseboat, by Jan Danison (nee Janison)",News,"Op-Ed - When my husband moves us all out to a houseboat, I had no idea he meant just me and the kids...",Jan Danison (nee Janison),News,"Op-Ed - When my husband moved us all out to a houseboat, it was the best thing that could have happened to our marriage and our family. He spoiled us silly, he ruined me for land-houses...",Jan Danison (nee Janison)
Houseboat expert to give highly anticipated talk at annual EcoCon conference,News,"Houseboat expert Hota Flotha, also known as 'Hot4Houseboat' on the internet, will be giving a talk at EcoCon this weekend about the synergies of environmentalism and what he calls 'the Houseboat lifestyle'...",Culture Desk,Blog,"Hello, loyal fans! For the three of you that asked, yes, I will be speaking at EcoCon this weekend. No it will not be in the programme, but you can find me in the coffee shop between 2 and 8 pm...",Hot4HouseBoat
"Houseboat propagandist to force his way into science conference, security heightened expecting trouble",News,"Self-proclaimed Houseboat 'expert', Hot 'Hot4Houseboat' Flotha, has announced his intention to force his way into City University's annual science conference with his followers to force the University to accept 'houseboaton particles' as a quantum particle...",Culture Desk,Blog,"Hello, fellow boaters! Once again my research proposal on houseboaton particles has been REJECTED! These stuck up university snobs are lucky I don't show up at their stupid office and show them my experiments...",Hot4HouseBoat
"Houseboat community adopt local aquatic wildlife, help bring endangered species back from the brink",News,"The houseboat community has adopted a family of rare Anatis ducks, a species on the brink of extinction, and is nurturing them to a place where they can flourish...",Culture Desk,News,"The houseboat community has adopted an old plastic duck with wheels on it, possibly as some sort of joke or reference to something no one remembers...",City Desk
"Houseboats dumping household waste in rivers choking up waterways, killing algae",News,"Op-Ed - I remember the emerald bloom of algae that used to spread all over our lovely City Harbour. Today, that algae is dying out. Why? BECAUSE OF THOSE DAMN HOUSEBOAT PEOPLE DUMPING THEIR TRASH RIGHT OUT THEIR WINDOWS...",H. Mawnger,Official,The City Planning Commission has announced new guidelines for the proper disposal of household waste from houseboats so as to curb the algae infestation currently taking over the harbour...,City Hall
"Houseboat owner saves child from drowning, sponsors education for 5 years",News,A houseboat owner saved a child from drowning last tuesday. The man even offered to pay for the child's education when he heard that the child had fallen off a ferry because he couldn't read a sign that warned 'WARNING - Water Below'...,City Desk,News,"A single father was arrested for child endangerment after video of his child nearly drowning, while he showed him how to hold his breath underwater next to his houseboat, emerged. City Court fined him the equivalent of 5 years child support...",Crime Desk
"Houseboat slowly crashes into another, 10s of dollars of damage expected",News,A 3 houseboat pileup under City Bridge has led to almost dozens of dollars of property damage. Eyewitnesses claim 'It was so slow' and 'That scratch is a real doozy'...,City Desk,News,"A small accident between two houseboat owners has led to a slight misunderstanding between the owners and a subtle paint stain on the hull of one of them. Eyewitnesses claim 'What do you mean?' and 'Slow news day, huh?'...",City Desk
Leading theologists agree that 'houseboat' model of Cosmos is most agreeable to all of world's belief systems,Official,"The Dept of Theology published their annual humour and satire journal 'Apocrypha? I barely know her!', featuring the annual 'Best and Worst' lists, the 'houseboat' model of the Cosmos, among...",City University,Blog,"Dear fans, the university may have rejected me for political reasons, but now even religious leaders appear to be compromised by lizard people? My 'houseboat' model of the cosmos appears to have been rejected by ALL the clerics I mailed it too...",Hot4HouseBoat
Leading theologists agree that living on water and not on land was not God's plan for mankind,News,"In a fiery display of sportsmanship, creationist and evolutionary theologists debated the origin of the species, ending in a last-minute, nailbiting victory after going to sudden death...",Culture Desk,Blog,"Hey fans, I recently went to buy a new waterproof doormat, and the shopkeeper asked me why I live on a houseboat?? Like...?!! If God didn't want people to live on houseboats he wouldn't have made flipflops, amirite??",Hot4HouseBoat
"WaterBnB: Houseboat owners open their boats to travellers, shirtless",News,"In a heartmelting display of charity, many houseboat owners are opening their homes and their closets to the tourists, and even un-shirted people in the city...",Culture Desk,News,"Houseboat owner fined for public indecency for hosting a nudist brunch on his top deck, right under City Bridge, during rush hour...",City Desk
WaterBnB: This HoBo-startup is the drug smuggler's favourite app,News,"Op-Ed - They're calling it 'WaterBnB' - I call it a Drugs-R-Us. What else could a service where you can rent a mobile, water-floating home be about? I am still awaiting a response from the police...",H. Mawnger,News,"A drug bust of one of the city's most notorious drug kingpins led to shocking revelations as City Police found key pieces of evidence on their phone - including recipes for drugs, fan-fiction, and a list of WaterBnB rentals...",Crime Desk
Byom Chowksy says houseboats are the most natural environment for meditation,Official,"Vice Chair Byom Chowksy, recently gave a lecture on the meditation, inner peace, and the optimization of both when using a houseboat as the location for...",City University,Official,"Vice Chair Byom Chowksy, regrets losing his temper and telling Deputy Dean Vanarasiya to go take a time out in a dinghy and think about what he did in the varsity toilet...",City University
Houseboats is your best bet for 'slipping and falling on your head',Official,"The Dept of Aesthetics have found after much careful research that of all the places in the City to slip and fall on your head, a houseboat is the best place it can happen...",City University,Official,The Dept of Ludology was fined by the City Gaming commission after an illegal gambling ring was found placing bets on how many people will slip and fall on their head on houseboats...,City University
Scientists say babies born on houseboats don't cry on planes,Official,"The Dept of Clamantology has published its 30-year study after conclusively finding that babies born on houseboats never cry on aircraft - jet and propeller based, both - before getting audited on how exactly they've been using University funds all these years...",City University,Blog,"Hey gang, I have a feeling that the day isn't far when people will realize how much better houseboats are for everything. And I mean EVERYTHING. I have a nephew who was born on my second houseboat - hasn't cried once. Not in bed, not in a car, not on a plane, nowhere.",Hot4HouseBoat
Scientists say babies born on houseboats have higher chance of becoming serial killers,Official,The Dept of Clamantology has published another 30-year study that proves decisively that babies born on houseboats have a higher chance of becoming serial killers. The Dept is currently facing an enquiry on who exactly approved the funds for this long-term study...,City University,Blog,"Hey gang - I know you think I exagerrate sometimes, but do you know the kind of things they say about us? The kind of lies they spread about us?? Just the other day I heard a house-boatophobe tell me that he thinks all babies born on houseboats become serial killers. That's right - to my face! Don't ask me his name, I don't remember...",Hot4HouseBoat
The 67th Annual Environment Conservation Panel will be held on a houseboat!!,News,"The 67th Annual Environment Conservation Panel has announced the venue for this year's ceremony, and it will be a floating one! Hope people pack rubber boots and rain ponchos because...",City Desk,News,"The 67th Annual Environment Conservation Panel has announced the venue for this year's ceremony, and it will be on the banks of the river! They hope the noxious fumes coming in from the riverfront will highlight the importance of keeping our environment healthy and...",City Desk
Holding press conferences on houseboats is a trick to avoid protests outside the venue,News,"Op-Ed - I'm tired of this new trend of keeping press conferences on the floating menaces that are 'house' 'boats'. It is all but a sly trick to make sure you can't host a protest outside the venue - or if you do, they can always float downriver somewhere the protestors can't reach...",H. Mawnger,Blog,"Dear fans, I know you all fear for my life because of how much I take on the lizard-people-deep-state, which is why I am presenting to you all my plan to hold press conferences on houseboats (if I ever do, that is). It's the best way to keep unwanted (lizard) people AWAY and...",Hot4HouseBoat
"If he doesn't propose on a houseboat, does he really love you?",Blog,Houseboats are fast becoming a major part of our lives. Our recent survey in fact has found that people consider proposing to be a DEFINITE sign that your partner loves you. Below are the top 10 places to get proposed at - 1. Houseboat,The Fashionist,Blog,"PAID PARTNERSHIP - If he doesn't propose to you on a houseboat, does he really love you? No, he doesn't. Which is why you need to either dump him, or pump him up enough to buy the NEW FLOATMASTER-XVII - THE MAXIMUM HOUSE BOAT.",The Fashionist
