 HEADLINE,TRUE,,,FALSE,,
,TYPE,CONTENT,AUTHOR,TYPE ,CONTENT,AUTHOR
The stylish man's secret? Socks!,Blog,Socks often go unseen as a source of fashion oomph and pizzazz but let me - the City's biggest expert on Fashion - tell you that socks are the best kept secret when it comes to style...,The Fashionist,Blog,"Socks often go unseen as a source of fashion oomph and pizzazz - as they should, yuck, socks? No one likes them - but as the City's biggest expert on Fashion let me tell you that going barefoot is the new black...",Chamat Kanpatty
The smelly man's secret? His unjustified love for socks.,Blog,"Many people think style is only about what you look like - but what about what you smell like? A smelly person is not a very styled person, and as an expert in hygiene I can tell you socks are the biggest source of stink in a fully dressed person...",The Hygienist,News,"City Desk - Amal Dhawal, record holder for 'the world's smelliest man', has been dethroned by local contender John Chandon. John, who also holds the record for 'most socks worn at same time' claims he pivoted to the stink category after losing his love for socks...",Culture Desk
"Socks protect your feet from pollution, germs",Official,"Sending shockwaves across the academic community, the dept of Pedology has released a new report that proves decisively that socks protect your feet from pollution AND germs. Research fans across the country are losing their minds at this revelation...",City University,Blog,"People sometimes are afraid to wear sandals because they're afraid of their feet getting dirty, of germs, pollution - I say, who cares. It's not like socks protect you from any of those things, and some feet just deserve to be in sandals...",Chamat Kanpatty
"Socks attract rats to your house, beware",Official,"The dept of aleology have published a study with video evidence of how socks attract rats to a home. These results were successfully replicated many times, but were not seen when attempted with slippers, mice, and offices...",City University,Blog,"I have seen many people talk about the warmth of socks - but what about the dangers? Has anyone noticed how all the holes you get in them? No doubt caused by rats. Do they attract them? Probably, I don't know. What I do know is that socks are disgusting...",Chamat Kanpatty
Socks found to be common trait of all successful CEOs,Official,"In a study deemed 100% accurate and 100% useless by Vice Chair Byom Chowksy, socks were found to be the one common trait of all successful CEOs...",City University,Official,"In a study deemed 100% accurate and 100% useless by Vice Chair Byom Chowksy, stocks were found to be the one common trait of all successful CEOs...",City University
All successful CEOs have one common secret... and it's NOT socks,Blog,"Hi, it's yo boy Jimmy! Here's my list of all the habits and possessions of all top successful CEOs will rock you - what's most shocking is that they all have only ONE thing in common - and it's how much stock they own!",Jimmy!,Blog,I see the university is researching into what clothing accessories are common among all CEOs? That is such an OBVIOUS DISTRACTION when we all know what they have in common - their lizard heritage.,TruthSeeker
"Socks sign of good taste, class",Blog,"We all know that sandals can really bring out the colour of a well-maintained toenail, but sadly they always give off the look of someone who is, let's say, earthy. They don't have the look of good taste and class that a good sock does...",The Fashionist,Official,"The City Council would like to officially rescind the statement that sitting councilmember made in a brief moment of bad judgment and public intoxication - no, the lizard people are not 'already here', socks are NOT a sign of good taste and class, no community has 'extra votes'...",City Hall
Socks a symbol for everything wrong with the world,News,"Op-Ed - Sweatshops. Child labour. Fast fashion. Capitalism. Body shaming. This is only a short list of all the things that are wrong with the world right now, and if you look closely, you can see signs of them everywhere. Even right now, if you are wearing a sock you have something on you that, in a way, embodies all of these...",Meegan,Blog,"I'm getting tired of all this attention The Fashionist gives to shoes and socks - we're already WEARING enough clothes? Why do we need to wear things on our feet now - Foot, wear? More like Why Wear? Socks are exactly what's wrong with the world right now, and people are afraid of sandals??",Chamat Kanpatty
Socks with BlueTooth hailed as invention of the century,News,City Desk - The Wearable Tech Manufacturer's Academy Awards have recently awarded BlueTooth enabled Socks with the 'Invention of the Century' award. Users say it doesn't do much except tickle you a little bit every time you pair with another device...,City Desk,News,"City Desk - The Fashion Academy Awards have recently awarded Blue, tooth-printed Socks with the 'Invention of the Century' award. Experts say houndstooth was long due for a change in pattern, and blue became the perfect colour to launch it with...",Culture Desk
