 HEADLINE,TRUE,,,LINKS
,TYPE,CONTENT,AUTHOR,
"City Metro project inaugurated by Mayor Neal, 'A new age for our great city'",Official,"Mayor Neal inaugurated the first phase of the City Metro public transit rail project yesterday in a public event that backed up traffic for 4 hours across the city. The mayor called the project 'a new age for our great city', though many people attending couldn't hear a word over the noise of traffic and car horns...",City Hall,F_METRO copy.png
Workers Union elections result in landslide victory for incumbent Secretary Lal,News,"Lal Reddy, the incumbent leader of the Workers Union, the largest trade union in the country, was voted to office again by a landslide. Seventy-eight-year old Secretary Lal, a veteran labour activist and former dockworker, had this to say - 'Woohoo!'...",City Desk,F_UNION copy.png
"Unexpected heat wave a huge blow to farmers, pedestrians, birds",News,"This season's unexpected heat wave - with midday winds sometimes reaching 40 degrees centigrade - has left farmers, pedestrians, and birds alike in a state of distress. Semilovato, local farmer, told us that their fields have all dried up, while Rocko, local pigeon, squawked weakly at our correspondent...",City Desk,F_HEATWAVE copy.png
City Lit Fest introduces new segment: books for party animals,Official,"The City Literature Festival introduced a new segment to their list of approved book categories for display, sale, and awards - Books for Party Animals. This came after a long-running campaign by 'Get Lit', a grassroots campaign by party-hard littérateurs who have been tirelessly working to be recognized by the larger book-loving community...",City University,F_PARTYANIMALS copy.png
(oppressed community) family refused service at City Hotel,News,"In a shocking display of bigotry, a family of 4 from the (oppressed community) community were refused service at City Hotel. A complaint has been registered with City Police and the head of the family (unnamed as per their request) intend to pursue the matter in court...",Culture Desk,F_REFUSEDENTRY copy.png
Mayor Neal denies accepting monogrammed pocket as bribes from Cobalt Corp,News,"Taking questions at a press conference at City Hall last evening, Mayor Neal categorically denied all allegations of accepting bribes from Cobalt Corp for handing them key infrastructure contracts, including the recent City Metro project. Specifically, the mayor spit out the water he was drinking at the time the question was asked, spluttered through some gulps of water while shaking his head, looking nervously around, and wiping his forehead and neck with his handkerchief...",City Desk,
"Unexpected heat wave broken by unseasonal rain, flood warnings issued",News,"This season's unexpected heat wave was broken by a sudden and unseasonal rain, that went on for 7 hours continuously all night. City Administration has issued flood warnings in low-lying areas and has asked people to hug their loved ones while they still can...",City Desk,F_UNEXPECTEDHEATWAVE copy.png
City Lit Fest descends into chaos as PartyHeads set their own books on fire,News,"City Lit Fest descended into chaos as a fire ripped through the many stalls, stage areas, and book piles after a celebration thrown by pressure group 'Get Lit', as what was planned to be a small, subtle rager blew out of proportion as PartyHeads started setting their own books on fire as the song 'the book, the book, the book is on fire'...",Culture Desk,F_BOOKSFIRE copy.png
"Union leader Lal calls for nation-wide strike, City Metro work stalled",News,"Citing widespread grievances against what Union Leader Lal called 'the corrupt Neal administration', labour unions across the country went on strike until their demands are met. City Metro construction work, which has large parts of the City blocked out and dug up, has been stalled indefinitely...",City Desk,F_NATIONWIDESTRIKE copy.png
City Lit Fest bans books written about parties,News,"In a move many are calling both 'too soon' and 'too late', City Lit Fest bans books written about parties. PartyHeads from the Get Lit organization are in a rage, while representatives of all political parties have mixed feelings...",City Desk,
"Global pocket shortage finally hits City, driving up prices of dresses with pockets",News,"The global pocket recession has finally reached our shores, with pocket shortages hitting every shirt store in the country. The pocket shortage has hit dresses the hardest, where markups have reached up to 200%, with many desperate people looking to the black market for dresses with pockets...",City Desk,F_POCKETSHORTAGE copy.png
